frame,video_time_sec,segment_id,segment_description,ground_truth,prediction,correct,primary_track_present,raw_activity,smoothed_activity,semantic_activity
399,36.181818,3,Walking,walking,walking,1,1,standing,walking,walking
400,36.272727,3,Walking,walking,standing,0,1,standing,standing,standing
401,36.363636,3,Walking,walking,standing,0,1,standing,standing,standing
402,36.454545,3,Walking,walking,standing,0,1,standing,standing,standing
403,36.545455,3,Walking,walking,standing,0,1,walking,standing,standing
404,36.636364,3,Walking,walking,standing,0,1,walking,standing,standing
405,36.727273,3,Walking,walking,standing,0,1,walking,standing,standing
406,36.818182,3,Walking,walking,standing,0,1,walking,standing,standing
407,36.909091,3,Walking,walking,walking,1,1,walking,walking,walking
408,37.000000,3,Walking,walking,walking,1,1,walking,walking,walking
409,37.090909,3,Walking,walking,walking,1,1,walking,walking,walking
410,37.181818,3,Walking,walking,walking,1,1,walking,walking,walking
411,37.272727,3,Walking,walking,walking,1,1,walking,walking,walking
412,37.363636,3,Walking,walking,walking,1,1,walking,walking,walking
413,37.454545,3,Walking,walking,walking,1,1,walking,walking,walking
414,37.545455,3,Walking,walking,walking,1,1,walking,walking,walking
415,37.636364,3,Walking,walking,walking,1,1,walking,walking,walking
416,37.727273,3,Walking,walking,walking,1,1,walking,walking,walking
417,37.818182,3,Walking,walking,walking,1,1,walking,walking,walking
418,37.909091,3,Walking,walking,walking,1,1,walking,walking,walking
419,38.000000,3,Walking,walking,walking,1,1,walking,walking,walking
420,38.090909,3,Walking,walking,walking,1,1,walking,walking,walking
421,38.181818,3,Walking,walking,walking,1,1,walking,walking,walking
422,38.272727,3,Walking,walking,walking,1,1,walking,walking,walking
423,38.363636,3,Walking,walking,walking,1,1,walking,walking,walking
424,38.454545,3,Walking,walking,walking,1,1,walking,walking,walking
425,38.545455,3,Walking,walking,walking,1,1,walking,walking,walking
426,38.636364,3,Walking,walking,walking,1,1,walking,walking,walking
427,38.727273,3,Walking,walking,walking,1,1,walking,walking,walking
428,38.818182,3,Walking,walking,walking,1,1,walking,walking,walking
429,38.909091,3,Walking,walking,walking,1,1,standing,walking,walking
430,39.000000,3,Walking,walking,walking,1,1,standing,walking,walking
431,39.090909,3,Walking,walking,walking,1,1,standing,walking,walking
432,39.181818,3,Walking,walking,walking,1,1,standing,walking,walking
433,39.272727,3,Walking,walking,standing,0,1,standing,standing,standing
434,39.363636,3,Walking,walking,standing,0,1,standing,standing,standing
